SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Firmicutes	Fusobacteriota	Mycoplasmatota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
D21593PRE	10554375	5326139	0	0	0	0	36005620	0	0	443206	0	0	0	1949974	12222
D21630D15	194201	2771685	0	0	0	0	44669025	0	0	0	0	1593525	0	-2749860	15528
D21630D28	704206	622491	0	2737320	0	0	44781733	0	0	21754	0	1186944	0	2351433	12883
D21630D35	291856	2593243	0	79521	0	0	38271370	0	0	0	0	833586	0	1540125	0
D21630D57	23767	115954	0	0	0	0	26737474	0	0	0	0	0	0	7042034	13900
D21630D8	684012	3999313	0	0	0	0	12801222	0	0	1941200	8636	42325	6868	3585570	268331
D21630D96	541619	14321490	0	17526	0	0	21503122	6616	0	137807	0	110496	0	912414	1542067
D21630PRE	2526687	15619098	0	35113	0	0	27922500	0	0	80821	0	253101	26154	3502538	143291
D21685D0	2188038	62682	0	0	0	0	41776489	0	0	0	0	0	0	9606923	0
D21685D15	2015224	69653	0	0	14718	0	48494123	0	0	0	0	0	0	8176720	10490
D21685D22	6836326	14682	0	0	5946	0	32969029	0	0	0	0	0	0	4325213	10581
D21685D30	5683845	69817	0	0	8312	0	45906344	0	0	40066	0	0	0	6887909	0
D21685D58	7798336	29866	0	0	4280	0	52753412	0	0	824201	0	0	0	7058048	0
D21685D7	1313646	34809	0	0	12122	0	46008710	0	0	0	0	0	0	7022358	0
D21685NPE	2318650	230316	0	0	0	0	45319098	738483	4624	4162146	0	0	0	3261255	18656
D21685PRE	1978332	519941	0	0	9505	0	35657814	0	0	315861	0	0	0	3641242	0
D21752D14	463133	10581298	44564	0	0	0	17896110	0	0	87819	0	34189	0	4965422	14837
D21752PRE	620359	7843196	0	0	0	0	25718604	0	0	24304	0	34240	14728	6842612	19969
D21754D12	202957	4096527	0	0	0	0	30756308	0	0	137201	0	0	0	12288152	35146
D21754D20	1492444	283669	0	0	0	0	30077153	0	0	14156	0	0	0	14305618	127354
D21754D26	618143	250950	0	0	0	0	41759141	12696	0	5380458	0	0	0	7262055	19291
D21754D54	1234101	3693752	0	0	0	0	45937622	9439	0	145099	0	0	13367	12659395	0
D21754D8	162723	594637	0	0	0	0	30576863	0	0	190387	0	0	0	9416480	29862
D21754PRE	620833	14959679	0	0	0	0	30091406	0	0	124846	0	0	25049	6603002	7976263
