SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Firmicutes	Fusobacteriota	Mycoplasmatota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
D21276D89	1.883040172098	0.038000314709934	0	0	0	0	29.7064761313951	0	0	0.0093109160678093	0	0.0014404851447988	0	68.34099	0.0207461519865198
D21276PRE	2.85240231698661	35.0544180704681	0	0	0	0	45.6948490985068	0	0	0.731260702768635	0	0.752268262100269	0.0913820312045567	14.81119	0.0122245935283433
D21281D2	0.200247993469901	51.1078046732813	0	0	0	0	21.9918461106201	0	0	0	0	0	0	26.7001	0
D21281D49	2.44007614371538	4.13469149502208	0.0668153248664456	0	0	0	77.4598365763739	0	0	0.0382667293152745	0	0	0	15.86031	0
D21281PRE	6.49008503084186	2.25039253076667	0	0	0	0	75.6094602251726	0	0.0348067148360545	0.0019580887104666	0	0	0	15.59962	0.0136728608230864
D21309D0	0.555527784763116	0.189699525925873	0	0	0	0	82.4539723609182	0	0	0.0560409604717995	0	0	0	16.69249	0.0522671303701606
D21309D10	0.373276897613632	0.59351173255162	0	0	0	0	65.6060690299561	0.003583436902968	0	0	0.0018516644219797	0	0	33.39337	0.0283411227177117
D21309D15	0.0042663570309148	5.75043204636987	0	0	0	0	4.11860813551833	0	0	0.014043707841827	0	0	0	66.08619	24.0264576301457
D21309D181	1.35604269302868	22.6625535871223	0	0	0	0	57.5849630508863	0	0	5.16911189318257	0.0020024594330956	0.024477431754551	0.024477431754551	12.17283	1.00354835378616
D21309D22	2.30787223794368	5.98018135792298	0.0255869657860713	0	0	0	34.9844924256098	0	0	1.38673172965052	0	0	0	2.60005	52.7150811760119
D21309D29	3.45378656639577	7.99137868611732	0.0162046189251262	0	0.0025954711028653	0	73.6510090050319	0	0	0.0092122148683937	0	0	0	14.62266	0.25315234760217
